,intervalle,cost,emission,time
0,1,1967.81,4.0,0.0754098
1,2,1708.0,4.87445,0.937738
2,3,1683.95,4.86434,204.045
3,4,1562.75,4.88647,8.29767
4,5,1531.88,4.90609,6.6061
5,6,1477.44,5.08057,4.32235
6,7,1442.54,5.07481,5.15289
7,8,1465.67,4.96576,4.25973
8,9,1436.93,5.09184,5.0182
9,10,1453.97,4.96935,3.35985
10,11,1400.38,5.21939,5.27638
11,12,1379.91,5.2414,3.60037
12,13,1427.27,5.01768,5.8399
13,14,1391.62,5.13705,1.30393
14,15,1359.77,5.39583,4.94799
15,16,1343.71,5.38704,4.06601
16,17,1340.33,5.32964,1.40748
17,18,1362.33,5.2379,1.18683
18,19,1390.66,5.11728,3.15733
19,20,1413.34,5.0,2.27568
20,21,1327.42,5.30039,1.08936
21,22,1254.76,5.50586,1.62977
22,23,1241.26,5.50741,1.53241
23,24,1185.42,5.68259,1.73346
24,25,1165.65,5.76534,1.9919
25,26,1132.65,5.93416,0.889891
26,27,1135.98,5.92837,0.627761
27,28,1145.77,5.84814,0.464832
28,29,1169.03,5.79101,0.462485
29,30,1188.46,5.71171,0.534001
30,31,1210.61,5.64467,0.501244
31,32,1235.81,5.56217,0.425885
32,33,1257.44,5.48228,0.359137
33,34,1270.67,5.41959,0.617284
34,35,1284.48,5.35772,0.555555
35,36,1310.81,5.277,0.330275
36,37,1338.72,5.21077,0.944675
37,38,1361.76,5.12746,0.517305
38,39,1375.61,5.0833,0.389979
39,40,1406.69,5.0,0.577006
