,intervalle,cost,emission,time
0,1,500.0,8.0,0.0210022
1,2,500.0,8.0,0.0317637
2,3,500.0,8.0,0.0199606
3,4,500.0,8.0,0.0193264
4,5,500.0,8.0,0.0203096
5,6,500.0,8.0,0.0197669
6,7,500.0,8.0,0.0201455
7,8,500.0,8.0,0.0200615
8,9,500.0,8.0,0.0216981
9,10,500.0,8.0,0.0198823
10,11,500.0,8.0,0.0200497
11,12,500.0,8.0,0.0205234
12,13,500.0,8.0,0.0202908
13,14,500.0,8.0,0.020111
14,15,500.0,8.0,0.0201339
15,16,500.0,8.0,0.0203086
16,17,500.0,8.0,0.0201809
17,18,500.0,8.0,0.0218504
18,19,500.0,8.0,0.0211345
19,20,500.0,8.0,0.0203876
20,21,500.0,8.0,0.0207168
21,22,500.0,8.0,0.0203136
22,23,500.0,8.0,0.0196584
23,24,500.0,8.0,0.0198922
24,25,500.0,8.0,0.0197981
25,26,500.0,8.0,0.0198025
26,27,500.0,8.0,0.0200551
27,28,500.0,8.0,0.0200469
28,29,500.0,8.0,0.0202109
29,30,500.0,8.0,0.0201569
30,31,500.0,8.0,0.0227671
31,32,500.0,8.0,0.035074
32,33,500.0,8.0,0.0513171
33,34,500.0,8.0,0.0525604
34,35,500.0,8.0,0.053322
35,36,500.0,8.0,0.0262641
36,37,500.0,8.0,0.0329836
37,38,500.0,8.0,0.0446541
38,39,500.0,8.0,0.054904
39,40,500.0,8.0,0.0618902
40,41,500.0,8.0,0.072897
41,42,500.0,8.0,0.0610477
42,43,500.0,8.0,0.0595534
43,44,500.0,8.0,0.0561764
44,45,500.0,8.0,0.0582506
45,46,500.0,8.0,0.0272665
46,47,500.0,8.0,0.0217723
47,48,500.0,8.0,0.020204
48,49,500.0,8.0,0.0206417
49,50,500.0,8.0,0.0198787
