,intervalle,cost,emission,time
0,1,2536.19,4.0,0.259565
1,2,2043.75,5.28294,6.05825
2,3,1855.07,5.36657,180.011
3,4,1775.06,5.44208,407.679
4,5,1714.32,5.42935,393.277
5,6,1673.39,5.47542,58.1741
6,7,1652.06,5.41479,26.6118
7,8,1601.21,5.47075,40.9775
8,9,1599.5,5.59402,40.4212
9,10,1578.44,5.46643,13.9819
10,11,1520.17,5.62154,6.21442
11,12,1536.39,5.51718,6.87422
12,13,1538.6,5.62627,3.74241
13,14,1534.92,5.74973,12.9947
14,15,1519.9,5.63137,8.17849
15,16,1542.05,5.53462,8.57062
16,17,1521.75,5.5737,2.48608
17,18,1500.19,5.70018,5.85882
18,19,1477.24,5.89826,6.56945
19,20,1471.52,5.92722,1.15939
20,21,1458.6,5.79095,3.76597
21,22,1450.21,5.72374,1.47495
22,23,1463.3,5.65592,0.877622
23,24,1472.99,5.5761,1.25044
24,25,1502.32,5.49823,2.04226
25,26,1441.95,5.64256,1.44931
26,27,1330.76,5.93494,0.658104
27,28,1318.06,6.02268,0.742538
28,29,1233.38,6.25428,2.22937
29,30,1235.02,6.27867,0.86977
30,31,1229.89,6.29234,1.31729
31,32,1205.08,6.30657,0.632783
32,33,1220.77,6.26965,0.555777
33,34,1208.08,6.24744,0.662225
34,35,1224.38,6.20154,0.477624
35,36,1239.88,6.17009,0.472476
36,37,1255.44,6.13311,0.763692
37,38,1274.55,6.09447,0.797103
38,39,1295.44,6.03431,0.492785
39,40,1316.36,5.98563,0.83434
40,41,1325.64,5.94967,0.994417
41,42,1343.27,5.89829,0.605673
42,43,1354.16,5.85197,0.62986
43,44,1365.71,5.79104,0.517112
44,45,1385.71,5.74024,0.427634
45,46,1409.0,5.68515,0.439171
46,47,1426.46,5.64127,0.506467
47,48,1441.81,5.60694,0.808431
48,49,1465.71,5.5478,0.742525
49,50,1485.71,5.49989,0.399886
