,intervalle,cost,emission,time
0,1,2536.19,4.0,0.244976
1,2,2237.31,4.91801,22.9795
2,3,2100.21,4.77674,2276.65
3,4,1979.1,4.82189,42.0609
4,5,1910.99,4.88241,42.0622
5,6,1880.76,4.9681,21.4967
6,7,1892.75,4.93557,60.4299
7,8,1852.67,5.04406,136.491
8,9,1859.39,4.90528,189.606
9,10,1798.61,4.96876,9.37072
10,11,1753.16,5.13615,9.89222
11,12,1749.59,5.05889,4.70079
12,13,1775.1,5.01231,23.372
13,14,1766.49,5.13654,18.1942
14,15,1734.87,5.14109,4.69159
15,16,1753.81,5.04426,3.89822
16,17,1739.31,5.11947,1.79095
17,18,1725.78,5.18928,12.0155
18,19,1700.23,5.3194,2.52171
19,20,1709.79,5.42642,4.42238
20,21,1675.75,5.41526,4.7582
21,22,1661.38,5.31041,2.35674
22,23,1683.06,5.18054,2.28854
23,24,1690.32,5.10778,1.38011
24,25,1715.22,4.99795,0.897304
25,26,1665.44,5.11654,0.921183
26,27,1567.2,5.37326,0.812044
27,28,1566.04,5.45445,1.87782
28,29,1478.18,5.67381,1.31909
29,30,1484.33,5.67017,1.99421
30,31,1453.16,5.80424,2.2138
31,32,1407.43,5.86239,1.93825
32,33,1427.09,5.90891,2.11501
33,34,1391.04,5.8963,1.189
34,35,1407.92,5.84807,0.464827
35,36,1425.51,5.80152,0.787861
36,37,1436.62,5.77645,0.610842
37,38,1457.02,5.72064,0.485615
38,39,1487.41,5.64044,0.618739
39,40,1507.01,5.59226,0.686037
40,41,1516.64,5.50776,0.891081
41,42,1531.83,5.47452,0.60216
42,43,1540.85,5.4222,0.370483
43,44,1552.87,5.35367,0.649143
44,45,1583.73,5.29401,1.1296
45,46,1605.41,5.21729,0.382703
46,47,1626.17,5.16952,0.419932
47,48,1645.41,5.12282,0.490914
48,49,1677.12,5.06348,1.41346
49,50,1704.33,4.99643,2.82935
