,intervalle,cost,emission,time
0,1,500.0,8.0,0.0205581
1,2,500.0,8.0,0.0204347
2,3,500.0,8.0,0.0201674
3,4,500.0,8.0,0.0201886
4,5,500.0,8.0,0.0198147
5,6,500.0,8.0,0.0202674
6,7,500.0,8.0,0.0195951
7,8,500.0,8.0,0.0200071
8,9,500.0,8.0,0.0202784
9,10,500.0,8.0,0.0206268
10,11,500.0,8.0,0.0198571
11,12,500.0,8.0,0.0200151
12,13,500.0,8.0,0.0199545
13,14,500.0,8.0,0.0202057
14,15,500.0,8.0,0.0197986
15,16,500.0,8.0,0.0201015
16,17,500.0,8.0,0.0215419
17,18,500.0,8.0,0.0203438
18,19,500.0,8.0,0.0199788
19,20,500.0,8.0,0.0202313
20,21,500.0,8.0,0.0211466
21,22,500.0,8.0,0.0201293
22,23,500.0,8.0,0.0204307
23,24,500.0,8.0,0.0204064
24,25,500.0,8.0,0.0198912
25,26,500.0,8.0,0.0203302
26,27,500.0,8.0,0.0203755
27,28,500.0,8.0,0.0203983
28,29,500.0,8.0,0.0201597
29,30,500.0,8.0,0.0197758
30,31,500.0,8.0,0.0196944
31,32,500.0,8.0,0.0199329
32,33,500.0,8.0,0.0204499
33,34,500.0,8.0,0.0201362
34,35,500.0,8.0,0.0487968
35,36,500.0,8.0,0.0686431
36,37,500.0,8.0,0.0560835
37,38,500.0,8.0,0.0529679
38,39,500.0,8.0,0.0391525
39,40,500.0,8.0,0.0471214
40,41,500.0,8.0,0.0449562
41,42,500.0,8.0,0.0771432
42,43,500.0,8.0,0.0593545
43,44,500.0,8.0,0.0561003
44,45,500.0,8.0,0.0420623
45,46,500.0,8.0,0.0195373
46,47,500.0,8.0,0.0207287
47,48,500.0,8.0,0.0220293
48,49,500.0,8.0,0.0198149
49,50,500.0,8.0,0.0199081
