,intervalle,cost,emission,time
0,1,200.0,8.0,0.0107414
1,2,200.0,8.0,0.01036
2,3,200.0,8.0,0.0104615
3,4,200.0,8.0,0.010409
4,5,200.0,8.0,0.0108232
5,6,200.0,8.0,0.0110677
6,7,200.0,8.0,0.0108535
7,8,200.0,8.0,0.0106106
8,9,200.0,8.0,0.0106578
9,10,200.0,8.0,0.0107459
10,11,200.0,8.0,0.0102458
11,12,200.0,8.0,0.0106424
12,13,200.0,8.0,0.0104009
13,14,200.0,8.0,0.0105153
14,15,200.0,8.0,0.0108021
15,16,200.0,8.0,0.010476
16,17,200.0,8.0,0.010442
17,18,200.0,8.0,0.0104004
18,19,200.0,8.0,0.010458
19,20,200.0,8.0,0.0104106
