,intervalle,cost,emission,time
0,1,1967.81,4.0,0.13487
1,2,1562.48,5.20592,0.489937
2,3,1487.01,5.40233,47.1351
3,4,1393.29,5.42777,26.0808
4,5,1371.8,5.4443,18.9917
5,6,1285.61,5.5785,2.42638
6,7,1247.25,5.58506,3.34685
7,8,1282.59,5.4356,7.19908
8,9,1267.83,5.60581,9.01706
9,10,1268.14,5.48356,3.76937
10,11,1214.96,5.76739,7.98784
11,12,1218.56,5.69014,8.02377
12,13,1244.89,5.51158,2.70812
13,14,1202.45,5.69556,2.32516
14,15,1166.12,5.95007,1.41173
15,16,1166.97,5.88959,2.38185
16,17,1172.21,5.74528,1.72318
17,18,1197.47,5.67277,3.29997
18,19,1208.5,5.587,0.480083
19,20,1232.68,5.5,1.61692
20,21,1133.74,5.8524,1.50942
21,22,1054.89,6.10138,2.17942
22,23,1039.84,6.10356,1.73909
23,24,970.014,6.302,0.506071
24,25,973.784,6.37986,0.321441
25,26,974.849,6.31475,0.268326
26,27,988.462,6.23637,0.338431
27,28,1005.06,6.20678,0.420237
28,29,1021.99,6.16036,0.406529
29,30,1043.67,6.09309,0.662536
30,31,1063.85,6.03722,0.638664
31,32,1084.75,5.96848,0.710805
32,33,1104.85,5.91261,0.89748
33,34,1109.16,5.85038,0.339797
34,35,1124.27,5.79505,0.270307
35,36,1148.38,5.72867,0.405901
36,37,1168.38,5.67486,0.404228
37,38,1189.06,5.60622,0.381981
38,39,1204.27,5.56522,0.773029
39,40,1227.98,5.5,0.709432
