,intervalle,cost,emission,time
0,1,1161.56,6.0,0.0288788
1,2,1161.56,6.0,0.0446987
2,3,1161.56,6.0,0.204317
3,4,1161.56,6.0,0.836415
4,5,1161.56,6.0,1.10763
5,6,1135.19,6.03801,6.51386
6,7,1083.69,6.05941,1.40157
7,8,1107.24,5.95569,5.3817
8,9,1089.33,6.07434,5.67114
9,10,1091.49,5.97929,6.18144
10,11,1041.87,6.18101,5.09127
11,12,1049.25,6.13047,3.51788
12,13,1074.62,5.99894,3.06338
13,14,1025.79,6.16107,2.44286
14,15,993.874,6.35493,0.770296
15,16,1004.28,6.29944,1.50968
16,17,1011.53,6.22489,2.16964
17,18,1022.64,6.15829,0.551365
18,19,1044.83,6.05693,1.832
19,20,1059.71,6.0,3.23755
20,21,940.625,6.38979,0.565868
21,22,860.956,6.63274,1.55998
22,23,852.374,6.66405,0.76445
23,24,820.901,6.72842,0.386838
24,25,840.901,6.68167,0.634773
25,26,847.19,6.64555,0.294379
26,27,860.756,6.61891,0.321822
27,28,876.734,6.56543,0.505831
28,29,890.153,6.52829,0.507868
29,30,906.644,6.47447,0.566448
30,31,916.778,6.42978,0.382791
31,32,934.604,6.372,0.37208
32,33,954.604,6.31281,0.789012
33,34,962.912,6.2803,0.784872
34,35,974.604,6.23627,0.588759
35,36,993.701,6.18467,0.966906
36,37,1008.73,6.14051,0.965004
37,38,1026.83,6.08319,1.72141
38,39,1034.6,6.05092,0.601334
39,40,1054.38,6.0,1.22051
