,intervalle,cost,emission,time
0,1,1458.34,6.0,0.0527594
1,2,1458.34,6.0,0.0612057
2,3,1458.34,6.0,0.193273
3,4,1458.34,6.0,1.04548
4,5,1454.48,5.96527,6.523
5,6,1450.86,6.0,14.8785
6,7,1437.36,5.99658,32.056
7,8,1380.58,5.93057,35.0137
8,9,1361.53,6.08692,13.7741
9,10,1357.93,5.98148,8.50457
10,11,1295.47,6.10573,5.22489
11,12,1330.28,6.00876,34.8254
12,13,1339.34,6.03276,14.1088
13,14,1322.85,6.18373,4.90552
14,15,1306.98,6.09715,5.14856
15,16,1320.38,5.99413,5.69967
16,17,1303.47,6.15144,3.83896
17,18,1281.66,6.14041,6.17667
18,19,1260.84,6.33782,3.29228
19,20,1263.95,6.32166,2.56273
20,21,1255.33,6.27048,2.20729
21,22,1249.74,6.18666,2.48791
22,23,1266.14,6.1076,1.50618
23,24,1268.04,6.07231,2.15287
24,25,1285.03,5.999,0.599966
25,26,1226.91,6.16292,2.88151
26,27,1103.71,6.60327,1.10603
27,28,1088.7,6.62927,2.33744
28,29,1025.01,6.71082,0.754073
29,30,1025.01,6.71082,0.64276
30,31,1045.01,6.67398,0.971149
31,32,1032.05,6.64297,0.489312
32,33,1051.88,6.60035,0.637377
33,34,1048.51,6.5976,0.503864
34,35,1064.28,6.55226,0.46104
35,36,1080.39,6.53423,0.567656
36,37,1087.47,6.51764,0.532016
37,38,1105.83,6.46452,0.789138
38,39,1125.83,6.42099,0.848031
39,40,1136.56,6.39459,0.558168
40,41,1143.65,6.3583,0.429478
41,42,1160.09,6.323,0.652207
42,43,1171.45,6.28157,0.657116
43,44,1184.7,6.23578,0.904804
44,45,1198.88,6.19526,0.5613
45,46,1218.02,6.14812,0.605545
46,47,1233.8,6.11062,0.823198
47,48,1244.99,6.08616,0.936123
48,49,1263.02,6.04152,0.936128
49,50,1280.14,6.0,0.702563
