,intervalle,cost,emission,time
0,1,300.0,8.0,0.0158622
1,2,300.0,8.0,0.0157676
2,3,300.0,8.0,0.0156639
3,4,300.0,8.0,0.015195
4,5,300.0,8.0,0.0160816
5,6,300.0,8.0,0.0158478
6,7,300.0,8.0,0.0149915
7,8,300.0,8.0,0.0154046
8,9,300.0,8.0,0.0149956
9,10,300.0,8.0,0.0154638
10,11,300.0,8.0,0.0151547
11,12,300.0,8.0,0.0153603
12,13,300.0,8.0,0.0152772
13,14,300.0,8.0,0.0155355
14,15,300.0,8.0,0.0153453
15,16,300.0,8.0,0.0151694
16,17,300.0,8.0,0.0153026
17,18,300.0,8.0,0.0149696
18,19,300.0,8.0,0.0151262
19,20,300.0,8.0,0.0151705
20,21,300.0,8.0,0.0149184
21,22,300.0,8.0,0.0154073
22,23,300.0,8.0,0.0169064
23,24,300.0,8.0,0.0153896
24,25,300.0,8.0,0.015221
25,26,300.0,8.0,0.0151252
26,27,300.0,8.0,0.0148945
27,28,300.0,8.0,0.0149193
28,29,300.0,8.0,0.0152118
29,30,300.0,8.0,0.015597
