,intervalle,cost,emission,time
0,1,250.0,8.0,0.0141364
1,2,250.0,8.0,0.0222232
2,3,250.0,8.0,0.013578
3,4,250.0,8.0,0.0140209
4,5,250.0,8.0,0.0141416
5,6,250.0,8.0,0.013782
6,7,250.0,8.0,0.014254
7,8,250.0,8.0,0.0141975
8,9,250.0,8.0,0.0142919
9,10,250.0,8.0,0.0315999
10,11,250.0,8.0,0.0157975
11,12,250.0,8.0,0.0137187
12,13,250.0,8.0,0.0162076
13,14,250.0,8.0,0.0139051
14,15,250.0,8.0,0.0139476
15,16,250.0,8.0,0.0138649
16,17,250.0,8.0,0.0145111
17,18,250.0,8.0,0.0141596
18,19,250.0,8.0,0.0137603
19,20,250.0,8.0,0.0321421
20,21,250.0,8.0,0.0133816
21,22,250.0,8.0,0.0137424
22,23,250.0,8.0,0.0142844
23,24,250.0,8.0,0.0138761
24,25,250.0,8.0,0.0138136
