,intervalle,cost,emission,time
0,1,2598.7,2.0,0.185341
1,2,2518.52,2.78576,1.06219
2,3,2419.53,2.81739,12.9804
3,4,2344.48,2.87202,7.98403
4,5,2306.88,2.84129,5.94672
5,6,2283.46,2.86317,6.91406
6,7,2256.22,2.98317,6.19559
7,8,2237.73,2.91846,2.12012
8,9,2231.33,3.03413,6.18373
9,10,2238.15,2.9397,5.93723
10,11,2195.2,3.01307,4.23447
11,12,2179.84,3.11078,3.2589
12,13,2172.04,3.05872,0.622298
13,14,2183.45,3.04534,1.54548
14,15,2167.41,3.10454,0.987558
15,16,2165.32,3.1527,3.31232
16,17,2138.68,3.21727,1.34801
17,18,2137.31,3.27829,1.00083
18,19,2139.32,3.2116,0.748231
19,20,2179.49,2.98808,0.609953
20,21,2155.59,3.06219,0.631467
21,22,2126.35,3.16112,0.536895
22,23,2119.34,3.16335,0.817946
23,24,2094.63,3.21818,0.560198
24,25,2087.62,3.26564,1.09133
25,26,2070.28,3.30819,1.0231
26,27,2046.55,3.377,0.57418
27,28,2029.77,3.41939,0.817807
28,29,2012.87,3.46677,0.498548
29,30,1997.83,3.51236,0.408303
30,31,2006.51,3.56369,0.977088
31,32,1984.21,3.6056,0.272372
32,33,1984.21,3.6056,0.337104
33,34,1970.5,3.63675,0.586941
34,35,1986.42,3.58486,0.370797
35,36,2026.35,3.46167,0.374939
36,37,2057.86,3.33767,0.45554
37,38,2099.72,3.20969,0.593971
38,39,2125.35,3.13891,0.44535
39,40,2170.63,2.9976,0.553984
