,intervalle,cost,emission,time
0,1,400.0,8.0,0.01804
1,2,400.0,8.0,0.0290887
2,3,400.0,8.0,0.016909
3,4,400.0,8.0,0.0166
4,5,400.0,8.0,0.0167407
5,6,400.0,8.0,0.0177075
6,7,400.0,8.0,0.0167078
7,8,400.0,8.0,0.0166865
8,9,400.0,8.0,0.0176728
9,10,400.0,8.0,0.0159061
10,11,400.0,8.0,0.016488
11,12,400.0,8.0,0.0166887
12,13,400.0,8.0,0.0167503
13,14,400.0,8.0,0.0170742
14,15,400.0,8.0,0.0162319
15,16,400.0,8.0,0.016835
16,17,400.0,8.0,0.0164391
17,18,400.0,8.0,0.0161748
18,19,400.0,8.0,0.0163616
19,20,400.0,8.0,0.0160453
20,21,400.0,8.0,0.0167646
21,22,400.0,8.0,0.0170411
22,23,400.0,8.0,0.0161835
23,24,400.0,8.0,0.0168985
24,25,400.0,8.0,0.0161801
25,26,400.0,8.0,0.0164726
26,27,400.0,8.0,0.0163529
27,28,400.0,8.0,0.0587884
28,29,400.0,8.0,0.0431692
29,30,400.0,8.0,0.0697631
30,31,400.0,8.0,0.0532026
31,32,400.0,8.0,0.0660205
32,33,400.0,8.0,0.0637314
33,34,400.0,8.0,0.0473901
34,35,400.0,8.0,0.0713496
35,36,400.0,8.0,0.0626157
36,37,400.0,8.0,0.0775189
37,38,400.0,8.0,0.0161305
38,39,400.0,8.0,0.016471
39,40,400.0,8.0,0.0174328
