,intervalle,cost,emission,time
0,1,400.0,8.0,0.0161751
1,2,400.0,8.0,0.015919
2,3,400.0,8.0,0.0161205
3,4,400.0,8.0,0.0168047
4,5,400.0,8.0,0.0168537
5,6,400.0,8.0,0.0161127
6,7,400.0,8.0,0.0168881
7,8,400.0,8.0,0.0177042
8,9,400.0,8.0,0.016751
9,10,400.0,8.0,0.0162609
10,11,400.0,8.0,0.0165229
11,12,400.0,8.0,0.0166859
12,13,400.0,8.0,0.0164209
13,14,400.0,8.0,0.0162466
14,15,400.0,8.0,0.0163626
15,16,400.0,8.0,0.0164526
16,17,400.0,8.0,0.0166645
17,18,400.0,8.0,0.0168387
18,19,400.0,8.0,0.0170425
19,20,400.0,8.0,0.0166173
20,21,400.0,8.0,0.0168535
21,22,400.0,8.0,0.0166418
22,23,400.0,8.0,0.0161363
23,24,400.0,8.0,0.0168688
24,25,400.0,8.0,0.016776
25,26,400.0,8.0,0.0166695
26,27,400.0,8.0,0.017157
27,28,400.0,8.0,0.0163303
28,29,400.0,8.0,0.0168773
29,30,400.0,8.0,0.0166333
30,31,400.0,8.0,0.0164685
31,32,400.0,8.0,0.0165169
32,33,400.0,8.0,0.016868
33,34,400.0,8.0,0.0160974
34,35,400.0,8.0,0.0164659
35,36,400.0,8.0,0.109663
36,37,400.0,8.0,0.0537058
37,38,400.0,8.0,0.0875855
38,39,400.0,8.0,0.0686271
39,40,400.0,8.0,0.0566484
