,intervalle,cost,emission,time
0,1,3288.28,2.0,0.367303
1,2,3181.93,2.71677,11.0949
2,3,2993.96,2.72516,26.7685
3,4,3001.36,2.75378,657.35
4,5,2864.64,2.82576,15.326
5,6,2893.57,2.87824,241.682
6,7,2864.5,2.89406,55.0112
7,8,2792.64,2.90704,10.317
8,9,2803.13,2.86248,7.65422
9,10,2760.85,2.97886,7.26613
10,11,2767.83,3.01113,10.6278
11,12,2724.4,3.02105,1.78597
12,13,2752.47,3.00313,3.20031
13,14,2752.87,3.04005,5.33063
14,15,2746.1,3.1167,11.8226
15,16,2726.6,3.06233,2.12853
16,17,2724.12,2.97136,2.16366
17,18,2725.43,3.06334,2.73578
18,19,2690.59,3.08785,1.60863
19,20,2691.26,3.12847,1.42432
20,21,2684.41,3.15605,2.02307
21,22,2675.37,3.1869,3.70276
22,23,2663.17,3.29562,1.03488
23,24,2664.63,3.16317,1.16224
24,25,2707.34,2.99783,1.04114
25,26,2681.1,3.03864,0.770508
26,27,2641.78,3.12442,0.809523
27,28,2641.78,3.12442,0.982641
28,29,2597.94,3.20834,0.685448
29,30,2607.14,3.20834,0.770404
30,31,2587.21,3.25589,0.713689
31,32,2566.23,3.29917,1.32923
32,33,2562.08,3.33583,1.11874
33,34,2536.44,3.36708,0.954264
34,35,2522.65,3.41093,0.522843
35,36,2507.46,3.44336,0.596501
36,37,2521.93,3.44405,0.709
37,38,2539.88,3.4843,1.0331
38,39,2519.88,3.52492,1.09284
39,40,2513.52,3.55348,0.563656
40,41,2492.23,3.60289,0.441271
41,42,2496.18,3.6755,0.881398
42,43,2480.9,3.68018,0.652731
43,44,2492.77,3.59886,0.722226
44,45,2530.08,3.48161,0.817327
45,46,2542.5,3.3703,0.366217
46,47,2588.62,3.28254,0.422414
47,48,2611.13,3.21184,0.399671
48,49,2637.62,3.10579,0.55355
49,50,2679.38,3.0,0.52687
