,intervalle,cost,emission,time
0,1,300.0,8.0,0.0162272
1,2,300.0,8.0,0.0150673
2,3,300.0,8.0,0.0154408
3,4,300.0,8.0,0.0154196
4,5,300.0,8.0,0.0153171
5,6,300.0,8.0,0.015599
6,7,300.0,8.0,0.015218
7,8,300.0,8.0,0.0154615
8,9,300.0,8.0,0.0152557
9,10,300.0,8.0,0.0154507
10,11,300.0,8.0,0.0152146
11,12,300.0,8.0,0.015162
12,13,300.0,8.0,0.0150972
13,14,300.0,8.0,0.0151091
14,15,300.0,8.0,0.015111
15,16,300.0,8.0,0.0155803
16,17,300.0,8.0,0.015326
17,18,300.0,8.0,0.0154797
18,19,300.0,8.0,0.0151346
19,20,300.0,8.0,0.015626
20,21,300.0,8.0,0.0157229
21,22,300.0,8.0,0.0153125
22,23,300.0,8.0,0.0152444
23,24,300.0,8.0,0.0151969
24,25,300.0,8.0,0.0156851
25,26,300.0,8.0,0.0147865
26,27,300.0,8.0,0.0157792
27,28,300.0,8.0,0.0152417
28,29,300.0,8.0,0.0148915
29,30,300.0,8.0,0.0158167
