,intervalle,cost,emission,time
0,1,250.0,8.0,0.0144691
1,2,250.0,8.0,0.0137148
2,3,250.0,8.0,0.0134225
3,4,250.0,8.0,0.0142375
4,5,250.0,8.0,0.0134978
5,6,250.0,8.0,0.0140404
6,7,250.0,8.0,0.0139067
7,8,250.0,8.0,0.0148654
8,9,250.0,8.0,0.0136363
9,10,250.0,8.0,0.0135233
10,11,250.0,8.0,0.0141382
11,12,250.0,8.0,0.014203
12,13,250.0,8.0,0.0140634
13,14,250.0,8.0,0.0142008
14,15,250.0,8.0,0.0137071
15,16,250.0,8.0,0.0140252
16,17,250.0,8.0,0.017737
17,18,250.0,8.0,0.0136925
18,19,250.0,8.0,0.0136751
19,20,250.0,8.0,0.013709
20,21,250.0,8.0,0.014416
21,22,250.0,8.0,0.0137907
22,23,250.0,8.0,0.0139147
23,24,250.0,8.0,0.0136945
24,25,250.0,8.0,0.0138521
