,intervalle,cost,emission,time
0,1,2598.7,2.0,0.148608
1,2,2381.04,3.28035,1.72661
2,3,2174.56,3.42643,3.14791
3,4,2165.64,3.38703,31.4685
4,5,2138.42,3.43486,23.8012
5,6,2059.26,3.5174,2.60771
6,7,2044.5,3.50505,6.27187
7,8,2053.75,3.47854,10.2715
8,9,2019.87,3.55031,5.67053
9,10,2043.88,3.45495,13.0501
10,11,1979.76,3.58646,3.35018
11,12,1966.36,3.62153,3.83127
12,13,1987.5,3.5755,7.7228
13,14,1976.23,3.55551,1.74783
14,15,1956.29,3.69215,3.15807
15,16,1944.55,3.69534,2.56916
16,17,1913.16,3.8384,1.31217
17,18,1911.53,3.86599,1.08496
18,19,1945.07,3.68987,1.35726
19,20,1980.48,3.49638,0.623674
20,21,1945.85,3.59445,0.822436
21,22,1903.54,3.73968,1.41568
22,23,1890.05,3.75891,0.961931
23,24,1854.74,3.83851,0.590739
24,25,1840.99,3.89645,0.776576
25,26,1819.0,3.9565,1.24891
26,27,1791.13,4.06396,1.71803
27,28,1761.99,4.15707,0.476417
28,29,1747.06,4.2084,0.400304
29,30,1735.88,4.27828,1.06749
30,31,1741.08,4.26677,1.22326
31,32,1722.35,4.32986,0.255843
32,33,1754.98,4.25361,0.367845
33,34,1773.99,4.13069,0.361943
34,35,1794.18,4.03658,0.435426
35,36,1837.42,3.9155,0.431147
36,37,1870.87,3.81529,0.444979
37,38,1907.7,3.69119,0.378309
38,39,1932.55,3.62809,0.380327
39,40,1974.56,3.5,0.606698
