,intervalle,cost,emission,time
0,1,3288.28,2.0,0.5567
1,2,3028.32,3.20439,9.52807
2,3,2723.92,3.18775,31.2941
3,4,2739.65,3.35191,2706.39
4,5,2638.99,3.37962,42.5027
5,6,2618.55,3.41349,33.8335
6,7,2615.39,3.32765,52.9665
7,8,2569.13,3.39004,64.2634
8,9,2576.36,3.42523,64.7194
9,10,2500.06,3.47253,4.42098
10,11,2512.1,3.50069,24.9345
11,12,2490.47,3.47892,11.1672
12,13,2486.19,3.52184,4.84699
13,14,2491.05,3.57074,7.50795
14,15,2465.97,3.66168,10.4502
15,16,2458.79,3.59821,2.54217
16,17,2469.69,3.49646,1.97875
17,18,2454.14,3.59572,4.72779
18,19,2422.71,3.65388,2.032
19,20,2428.36,3.67755,1.62555
20,21,2415.43,3.71368,4.12207
21,22,2393.73,3.88077,3.30095
22,23,2388.16,3.82071,2.53537
23,24,2404.41,3.66269,1.20224
24,25,2439.86,3.5,0.92496
25,26,2413.36,3.5611,0.857583
26,27,2357.36,3.68516,1.05506
27,28,2357.52,3.72487,1.14538
28,29,2305.02,3.81251,1.15717
29,30,2308.13,3.80947,1.06442
30,31,2280.02,3.8602,0.792116
31,32,2243.1,3.94357,1.1904
32,33,2240.34,3.98431,0.765526
33,34,2211.77,4.04355,0.591287
34,35,2207.89,4.13643,2.30352
35,36,2184.86,4.16669,0.604903
36,37,2205.62,4.18794,1.05945
37,38,2215.95,4.25949,0.538811
38,39,2203.8,4.3071,1.61591
39,40,2207.6,4.29693,1.79816
40,41,2183.01,4.29084,0.578485
41,42,2208.86,4.20553,0.486139
42,43,2209.09,4.05512,0.495178
43,44,2222.48,4.03898,0.65267
44,45,2261.23,3.94742,0.571925
45,46,2275.36,3.83126,0.448605
46,47,2315.66,3.75686,0.598903
47,48,2347.01,3.69723,1.00006
48,49,2371.06,3.59521,0.643063
49,50,2410.58,3.49335,0.585176
