,intervalle,cost,emission,time
0,1,200.0,8.0,0.0109013
1,2,200.0,8.0,0.0112212
2,3,200.0,8.0,0.0106663
3,4,200.0,8.0,0.0134942
4,5,200.0,8.0,0.0110889
5,6,200.0,8.0,0.0110412
6,7,200.0,8.0,0.0233227
7,8,200.0,8.0,0.0109978
8,9,200.0,8.0,0.0107029
9,10,200.0,8.0,0.0128336
10,11,200.0,8.0,0.0112981
11,12,200.0,8.0,0.0112539
12,13,200.0,8.0,0.0111605
13,14,200.0,8.0,0.0102376
14,15,200.0,8.0,0.010969
15,16,200.0,8.0,0.0107701
16,17,200.0,8.0,0.0106218
17,18,200.0,8.0,0.0106774
18,19,200.0,8.0,0.0101838
19,20,200.0,8.0,0.0105583
