,intervalle,cost,emission,time
0,1,2536.19,4.0,0.140503
1,2,2536.19,4.0,0.87096
2,3,2488.87,3.92933,19.245
3,4,2442.1,3.8944,62.8156
4,5,2412.66,3.88308,348.319
5,6,2403.71,3.88474,279.892
6,7,2373.53,3.81679,34.7013
7,8,2302.23,4.03869,25.0846
8,9,2333.53,4.02319,131.714
9,10,2276.29,3.95528,16.949
10,11,2250.18,4.06134,20.7853
11,12,2249.92,4.04256,26.7708
12,13,2240.65,4.06146,8.0591
13,14,2246.44,4.12942,27.2082
14,15,2205.68,4.21398,9.3269
15,16,2219.31,4.0895,14.4275
16,17,2231.55,3.98811,7.47068
17,18,2192.69,4.10872,2.05312
18,19,2174.28,4.21084,3.47633
19,20,2183.79,4.26571,2.70631
20,21,2152.43,4.34268,4.46627
21,22,2125.96,4.41131,2.59063
22,23,2137.95,4.27398,1.26307
23,24,2156.42,4.12963,0.982538
24,25,2185.95,3.99848,0.845471
25,26,2153.85,4.08146,0.885909
26,27,2089.51,4.24884,3.26456
27,28,2078.86,4.30231,1.10832
28,29,2014.18,4.45374,1.20971
29,30,2016.1,4.455,1.54718
30,31,1990.9,4.53129,1.53593
31,32,1945.9,4.59951,1.28092
32,33,1952.0,4.62155,2.55193
33,34,1908.54,4.75233,1.14076
34,35,1906.66,4.87334,2.18713
35,36,1880.67,4.90584,1.20487
36,37,1899.36,4.88322,1.86431
37,38,1924.66,4.90396,1.00258
38,39,1927.99,4.82308,1.11414
39,40,1950.98,4.75177,0.829999
40,41,1941.54,4.69648,0.632587
41,42,1967.58,4.61699,0.642049
42,43,1969.33,4.5375,0.467162
43,44,1977.44,4.47105,0.483812
44,45,2016.8,4.3977,0.643248
45,46,2040.34,4.29624,0.687282
46,47,2074.58,4.22302,0.69681
47,48,2096.87,4.17531,0.700307
48,49,2126.71,4.08463,0.839564
49,50,2163.04,4.0,0.890783
