,intervalle,cost,emission,time
0,1,1161.56,6.0,0.0361529
1,2,838.476,6.7226,0.117208
2,3,891.414,6.69172,13.5229
3,4,820.0,6.78399,5.48312
4,5,799.806,6.87561,6.08243
5,6,782.023,6.9114,10.4099
6,7,746.887,6.95408,2.14604
7,8,771.494,6.92512,57.4788
8,9,753.386,6.96012,6.24697
9,10,743.163,6.93371,2.85174
10,11,721.396,7.03871,3.77284
11,12,722.895,7.01793,2.42608
12,13,734.38,6.99113,4.40097
13,14,682.099,7.20591,0.525029
14,15,683.528,7.17661,0.563852
15,16,701.272,7.1265,1.94448
16,17,700.566,7.09051,1.01265
17,18,712.682,7.0554,1.61956
18,19,714.995,7.03094,1.20201
19,20,720.0,6.98225,1.92972
20,21,606.036,7.43375,0.328748
21,22,597.774,7.40617,0.421565
22,23,600.89,7.39665,0.496342
23,24,604.824,7.37124,0.488534
24,25,608.527,7.34773,0.485813
25,26,615.368,7.3259,0.457908
26,27,621.893,7.30946,0.616205
27,28,627.774,7.27951,0.456271
28,29,632.716,7.26414,0.484004
29,30,647.414,7.22547,1.86593
30,31,648.527,7.21353,0.476804
31,32,660.788,7.18739,1.46246
32,33,667.414,7.16473,1.32906
33,34,668.527,7.13947,0.467517
34,35,678.104,7.11924,1.61999
35,36,687.309,7.09233,1.60456
36,37,690.89,7.06962,0.532468
37,38,700.0,7.03597,0.745352
38,39,707.414,7.02517,2.01517
39,40,714.46,7.0,1.70924
