,intervalle,cost,emission,time
0,1,1942.32,2.0,0.472164
1,2,1872.06,2.66118,2.79409
2,3,1738.66,2.86312,2.054
3,4,1716.98,2.96384,6.58095
4,5,1700.98,2.84202,6.49222
5,6,1660.83,2.93817,1.33648
6,7,1651.56,3.00273,3.20031
7,8,1634.02,3.04892,0.951914
8,9,1609.37,3.16161,0.763001
9,10,1624.95,2.978,1.47195
10,11,1606.67,3.04835,0.516308
11,12,1544.04,3.21335,0.258198
12,13,1563.66,3.15183,0.362797
13,14,1590.64,3.08714,0.377474
14,15,1595.53,2.9959,0.227103
15,16,1571.9,3.07957,0.411504
16,17,1548.24,3.14325,0.307243
17,18,1523.79,3.23508,0.331331
18,19,1496.76,3.34775,0.346549
19,20,1497.96,3.35134,0.354219
20,21,1477.77,3.42145,0.248108
21,22,1454.28,3.53894,0.319777
22,23,1443.41,3.54788,0.225283
23,24,1463.47,3.62512,0.344153
24,25,1471.17,3.63171,0.360863
25,26,1474.76,3.50308,0.343317
26,27,1526.44,3.28551,0.259543
27,28,1539.14,3.21501,0.258035
28,29,1560.69,3.10239,0.178818
29,30,1591.73,3.0,0.259938
