,intervalle,cost,emission,time
0,1,783.395,2.42993,0.0165602
1,2,693.395,2.62395,0.0425431
2,3,663.395,2.71058,0.0741822
3,4,633.395,2.92564,0.0698043
4,5,573.395,3.12791,0.307149
5,6,573.395,3.26295,0.26194
6,7,573.395,3.09228,0.243652
7,8,573.395,3.34616,0.311573
8,9,543.395,3.31859,0.357271
9,10,300.0,6.0,0.0492776
